Name,Points,Year,Position,Number,School,REC,YDS,TDS
Landen Soma,5.8,SO,WR/LB,#18,Saydel,2,38,0
Luke Brewer,15.5,FR,TE/LB,#23,Norwalk,2,75,1
Dayton Harrell,4.4,SR,WR/CB,#28,Sioux City North,2,24,0
Tal Nettleton,3.3,JR,DB/WR,#5,Sioux City North,2,13,0
Cody Dorscher,2.9,JR,WR/CB,#24,Griswold,2,9,0
Zane Johnson,10.3,JR,RB/LB,#7,Griswold,2,23,1
Mason Steinhoff,10.7,SO,RB/LB,#11,Griswold,2,27,1
Weston Trapp,3.8,JR,RB/DB,#1,Creston,2,18,0
Davarrion Clark,2.6,JR,RB/LB,#20,Waterloo East,2,6,0
Hayden Garlow,2.4,JR,RB/DB,#1,Alta-Aurelia,2,4,0
Gavin Ford,7.6,JR,QB/LB,#12,Stanton,2,-4,1
Keenan Kilburg,3.0,SO,RB/DB,#2,Bellevue,2,10,0
Sam Klaassen,3.2,SR,RB/LB,#5,Forest City,2,12,0
Corey Thoreson,3.9,JR,TE/LB,#20,Forest City,2,19,0
Tate Thompson,2.9,SR,RB/CB,#1,Winterset,2,9,0
Drew Eller,2.8,SR,RB/DB,#7,North Scott,2,8,0
Chase Klatt,4.2,SO,TE/CB,#4,Calamus-Wheatland,2,22,0
Jack Johnson,5.5,SO,WR/DB,#16,Glenwood,2,35,0
Trent Patton,14.4,SR,RB/DL,#27,Glenwood,2,64,1
Zach Binns,4.2,SR,WR/DB,#18,Tipton,2,22,0
Preston Daedlow,5.4,SR,WR/DB,#3,Tipton,2,34,0
Caleb Cook,8.3,SR,RB/DB,#5,Pleasantville,2,63,0
Yusef Gulley,3.6,JR,WR/DB,#14,Pleasantville,2,16,0
Dayson Leerhoff,4.3,SR,TE/LB,#89,Pleasantville,2,23,0
Kale Shatto,2.3,JR,RB/LB,#32,Estherville Lincoln Central,2,3,0
Niyo Francois,21.0,JR,RB/LB,#5,Des Moines Hoover,2,70,2
T.Y. Pour,5.1,JR,WR/CB,#10,Prairie,2,31,0
Caden Henkes,3.4,JR,RB,#5,Ankeny,2,14,0
Tyler Mantel,6.1,SR,RB/LB,#28,Western Christian,2,41,0
Karsten Moret,6.8,JR,WR/DB,#6,Western Christian,2,48,0
Colin Kirstein,5.8,SR,WR/DB,#23,Clarion-Goldfield-Dows,2,38,0
Keaton Rothmeyer,3.6,SR,WR/DB,#03,Denver,2,16,0
Layne Mastin,2.8,SR,OG/DE,#11,East Mills,2,8,0
Nic Moore,4.3,JR,WR/DB,#11,Jesup,2,23,0
Treyvon Herron,17.0,FR,WR/DB,#9,Gladbrook-Reinbeck,2,90,1
Luther Cameron,11.0,JR,RB/DB,#9,MVAOCOU,2,30,1
Manny Cameron,3.6,SO,WR/S,#5,MVAOCOU,2,16,0
Tanner Dixon,13.2,SO,WR/DB,#4,MVAOCOU,2,52,1
Harry Spicer,4.0,JR,WR/CB,#10,MVAOCOU,2,20,0
Gage Head,12.3,SR,DB/WR,#4,Denison-Schleswig,2,43,1
Jude Gibson,5.7,SO,WR/DB,#2,Ballard,2,37,0
Henry Christensen,4.0,JR,DL,#99,Ballard,2,20,0
Adam Ewert,2.8,JR,WR/DB,#11,New Hampton,2,8,0
Cael Laures,3.2,SR,TE/S,#89,New Hampton,2,12,0
Beau Serie,3.4,JR,WR/DB,#8,New Hampton,2,14,0
Andrew Kline,10.5,SR,LB/WR,#11,Waterloo West,2,25,1
Bryce Westemeier,4.6,JR,WR/DB,#8,Waterloo West,2,26,0
Kyland Johnson,3.4,SR,WR/DB,#26,Urbandale,2,14,0
Ty Adams,10.4,SR,WR/DB,#6,Fort Dodge,2,84,0
Tytrell Mosley,3.4,SO,WR,#22,Fort Dodge,2,14,0
Braxton Bormann,3.0,SO,RB/LB,#21,Central Elkader,2,10,0
Logan Sharpe,2.6,JR,RB/LB,#28,Central Elkader,2,6,0
Cyrus Mensen,4.5,SR,WR/LB,#14,Red Oak,2,25,0
Jermaine Robinson,10.5,SO,WR,#7,Cedar Rapids Jefferson,2,25,1
Emmett Burke,14.3,SO,WR/DB,#10,Lone Tree,2,63,1
Landen Kaufman,2.6,JR,CB,#3,Harlan Community,2,6,0
Matthew Sorfonden,2.6,SR,LB,#36,Harlan Community,2,6,0
Payton Baker,3.6,SR,WR/S,#8,Alburnett,2,16,0
Connor Torson,3.4,JR,WR/DE,#2,Alburnett,2,14,0
Ty Lindquist,5.1,JR,FB/LB,#18,Dunkerton,2,31,0
Colin Snyder,3.5,SO,RB/LB,#24,Dunkerton,2,15,0
Cale Berry,3.9,JR,WR/S,#88,Clear Creek Amana,2,19,0
Jackson Stevens,2.3,SR,WR/DB,#22,Clear Creek Amana,2,3,0
Treyton Weber,3.9,SR,RB/LB,#22,Independence,2,19,0
Ty Sanchez-Evans,3.1,SO,TE/DL,#85,Mason City,2,11,0
Diego Garcia,8.6,SR,WR/DB,#11,Keokuk,2,6,1
Caleb Cooper,12.0,SR,TE/LB,#25,Treynor,2,40,1
Adam Scott,12.5,SR,RB/LB,#26,West Central,2,45,1
Grant Gray,18.5,JR,LB/RB,#44,Northeast,2,45,2
Lincoln Aeschliman,3.3,JR,RB/LB,#1,North Fayette Valley,2,13,0
Derek Erpelding,4.7,SR,WR,#2,Clear Lake,2,27,0
Logan Exley,4.9,SR,RB/LB,#2,Colfax-Mingo,2,29,0
Conner Wood,5.1,SR,WR/DB,#27,Colfax-Mingo,2,31,0
Alex Daniel,3.7,SO,RB/LB,#27,Glidden-Ralston,2,17,0
Rylan Unruh,5.0,SR,WR/DL,#6,North Cedar,2,30,0
Jacob King,11.8,JR,TE/LB,#5,Anamosa,2,21,0
Grayson Weers,4.5,SR,WR/DB,#21,Anamosa,2,25,0
Austin Scranton,3.7,JR,RB/LB,#26,Anamosa,2,17,0
Braydon Draeger,4.6,SR,TE/LB,#88,Melcher-Dallas,2,26,0
Kamden Stotlar,3.5,SR,RB/LB,#10,Mediapolis,2,15,0
Ethon Morrow,3.8,SR,TE/DL,#14,Manson-NW Webster,2,18,0
Parker Lewis,3.6,JR,WR/DB,#2,Oskaloosa,2,16,0
AJ Walker,4.0,SO,LB/RB,#6,Oskaloosa,2,20,0
Ty Joss,24.7,SR,LB/TE,#24,Regina Catholic,2,107,2
Jackson Naeve,18.4,SR,WR/CB,#7,Regina Catholic,2,44,2
Finnegan Cline,3.9,JR,WR/DB,#10,Louisa-Muscatine,2,19,0
Braxton Vonnahme,4.2,SO,WR/DB,#11,Kuemper Catholic,2,22,0
Kole Hooyer,3.8,SR,WR/DB,#3,Sioux Center,2,18,0
Carson Bruhn,2.2,SR,TE/DL,#40,Sioux Center,2,2,0
Treshaun Brooks,5.1,SR,WR/DB,#3,Marshalltown,2,31,0
Caleb Kusserow,4.8,SR,RB/DB,#4,Marshalltown,2,28,0
Carter Michalek,2.4,JR,WR/DB,#2,Montezuma,2,4,0
Broox Stockman,10.5,SO,RB/LB,#20,Montezuma,2,25,1
Jaymison Howard,5.7,SR,WR/LB,#5,Sumner-Fredericksburg,2,37,0
Jake Swisher,5.5,SR,WR/DB,#10,West Branch,2,35,0
Madden Uhlenhopp,9.6,JR,WR/DB,#7,Osage,2,16,1
Josh Dostal,3.8,JR,TE/LB,#5,North Tama,2,18,0
Tyrus Luker,3.3,JR,RB/DB,#12,North Tama,2,13,0
Aidan Skoda,4.1,JR,RB/DB,#7,Crestwood,2,21,0
Alex Tiedemann,2.3,SO,QB/DB,#34,Northwood-Kensett,2,3,0
Brock Carpenter,10.8,SR,WR/DB,#1,Western Dubuque,2,28,1
Brandon Decker,3.0,SR,WR/DB,#5,Western Dubuque,2,10,0
Grant Glausser,24.9,SR,RB/DB,#10,Western Dubuque,2,109,2
Jace Biery,4.5,SR,WR/CB,#4,Benton,2,25,0
Jacksyn Hogrefe,3.5,SO,RB/DB,#26,Newell-Fonda,2,15,0
Guyson Lyman,4.5,JR,TE/DE,#40,Newell-Fonda,2,25,0
Trenton Struss,5.3,SR,RB/S,#21,Newell-Fonda,2,33,0
Brandon Christofferson,3.7,SR,WR/S,#3,MFL MarMac,2,17,0
Bryce Radloff,10.2,SR,RB/CB,#27,MFL MarMac,2,22,1
Cooper Andrews,6.9,SR,WR/S,#14,Waukee,2,49,0
Gabriel Chayee,3.1,SR,WR,#3,Waukee,2,11,0
Charlie Cross,9.6,SR,TE,#36,Waukee,2,16,1
Sage Yazzie,9.1,JR,WR,#18,Waukee,2,11,1
Tavian Boess,4.1,JR,WR,#10,Waukee,2,21,0
Dominic Marco,2.1,SO,RB/LB,#3,Sibley-Ocheyedan,2,1,0
Hank Brown,3.5,SR,WR,#6,Dowling Catholic,2,15,0
Bailey Shetterly,3.0,JR,WR/DB,#5,Pella,2,10,0
Tyson Barnes,5.8,JR,WR/DB,#6,Pella,2,38,0
Blake Neuroth,3.3,SO,WR/DB,#10,East Marshall,2,13,0
Jonathan Sanders,6.5,SR,WR/DB,#3,East Marshall,2,45,0
Conner Pickerell,6.0,JR,WR/DB,#11,Albia,2,40,0
Collin Hoffman,4.0,SR,QB/S,#14,GTRA,2,20,0
Isaac Murphy,12.8,SR,RB/S,#1,GTRA,2,48,1
Braden Simington,5.5,SR,S/WR,#2,GTRA,2,35,0
Keaton Harpenau,3.1,JR,SL/DB,#2,Remsen St. Mary's,2,11,0
Brock Davis,3.7,JR,WR/LB,#12,Cedar Rapids Washington,2,17,0
Hayden Loftsgard,1.7,JR,WR/CB,#2,Tripoli,2,-3,0
Ethan Schaufenbuel,5.2,SO,WR/CB,#20,Tripoli,2,32,0
Jacob Morey,15.6,SR,OL/DL,#11,Tripoli,2,76,1
Andrew Fifita,4.4,SR,WR/DB,#15,LeMars,2,24,0
Ace Peck,3.5,JR,WR/DB,#6,Mid-Prairie,2,15,0
Brody King,16.2,JR,TE/LB,#2,Bedford,2,22,2
Garrison Motsinger,12.3,JR,RB/S,#4,Bedford,2,43,1
Carson Streeter,4.7,SO,RB/DB,#23,South Winneshiek,2,27,0
Cole Jeppesen,9.6,FR,WR/DB,#1,Riverside,2,16,1
Taven Moore,9.8,JR,TE/S,#30,Riverside,2,18,1
Ian Buzynski,4.4,SR,WR/DB,#11,Wapsie Valley,2,24,0
Kaiden Griffith,3.4,SR,WR/DB,#84,Marion,2,14,0
Darius Rouson,13.0,SR,RB/DB,#5,Marion,2,50,1
Blake Ferris,16.4,SR,WR/DB,#6,Davenport Central,2,84,1
Jake Jantzi,3.2,SR,RB/LB,#4,Davenport Central,2,12,0
Tiernan Boots,3.6,JR,WR/DB,#7,Lisbon,2,16,0
Gage Holub,19.0,JR,WR/DB,#4,Lisbon,2,50,2
Seth Jackson,5.8,JR,WR/DB,#4,West Delaware,2,38,0
Jesse Cornelison,3.9,SR,RB/DB,#2,Eddyville-Blakesburg-Fremont,2,19,0
Gavin Bridgewater,3.4,SR,LB/RB,#18,South Tama,2,14,0
Cole Milks,6.4,SR,RB/S,#11,Winfield-Mt Union,2,44,0
Isaiah Lusajo,15.9,JR,WR/LB,#3,Council Bluffs Lincoln,2,79,1
Ian Smith,10.3,JR,TE/LB,#5,Iowa Valley,2,23,1
Brodie Ludwig,3.5,JR,RB/LB,#21,Woodbine,2,15,0
Cal Pryor,10.2,FR,QB/DB,#12,Woodbine,2,22,1
Cameron Strawhacker,8.3,SR,WR/DB,#4,Ames,2,63,0
Tyler Bakken,5.0,JR,QB/DB,#6,Dike-New Hartford,2,30,0
Nash Kotar,3.0,SR,WR/QB,#9,Solon,2,10,0
Andon Barrick,4.1,SR,WR/DB,#10,Iowa Falls-Alden,2,21,0
Ray Morgan Jr.,5.5,SR,WR/DB,#84,Iowa Falls-Alden,2,35,0
Dylan Bolton,14.2,JR,RB/LB,#8,Boone,2,62,1
Eli Carpenter,3.3,SR,RB/DE,#34,Dallas Center-Grimes,2,13,0
Andrew Beran,9.8,JR,RB,#2,Riceville,2,18,1
Riley Nichols,3.3,SR,WR/LB,#9,Martensdale-St Marys,2,13,0
Travis White,17.8,SO,WR/DB,#16,Martensdale-St Marys,2,38,2
Robert Brown,9.0,JR,RB/CB,#5,Pekin,2,70,0
Caleb Nordhagen,12.8,JR,RB/LB,#23,Carlisle,2,48,1
Griffin Buss,6.1,SR,TE/LB,#80,North Butler,2,41,0
Damon Head,4.6,SR,RB,#28,Valley,2,26,0
Watson Krob,18.8,JR,WR/DB,#1,Mount Vernon,2,48,2
Ethan Wood,5.9,JR,WR/DL,#22,Mount Vernon,2,39,0
Jase Jaspers,2.9,SO,WR/DB,#24,Mount Vernon,2,9,0
Rylan Richardson,3.5,SO,WR/CB,#1,Storm Lake,2,15,0
David William,20.6,FR,WR/S,#12,Storm Lake,2,66,2
Bobby Boeckman,1.9,FR,WR/CB,#13,Storm Lake,2,-1,0
Carter Hoffmann,16.6,SO,RB/LB,#28,Xavier,2,86,1
Brock Miller,5.7,SR,WR/CB,#1,North Polk,2,37,0
BJ Tate,5.9,JR,RB,#20,North Polk,2,39,0
Payton Purgett,4.0,SR,RB/LB,#24,West Monona,2,20,0
Kaleb Koerselman,3.6,SO,RB/LB,#8,MOC-Floyd Valley,2,16,0
Tyeson Vaas,9.4,SR,TE/LB,#7,MOC-Floyd Valley,2,14,1
Tyler Fuller,2.6,SR,RB/DB,#20,Madrid,2,6,0
Jayce Fuson,3.0,SR,WR/DB,#3,Madrid,2,10,0
Nash Ramirez,3.3,SR,RB/LB,#23,Madrid,2,13,0
Tate Hawf,2.2,JR,RB/LB,#1,West Lyon,2,2,0
Sam Benson,7.9,SO,TE/LB,#4,South Hardin,2,59,0
Izaak Hollingsworth,4.4,JR,FB/LB,#40,South Hardin,2,24,0
Traven Wheeler,10.2,JR,WR/LB,#11,South Hardin,2,22,1
Max Dalton,2.9,JR,WR/CB,#7,Woodward-Granger,2,9,0
Chandler Drake,11.7,JR,WR/S,#13,Woodward-Granger,2,37,1
Kane Mahler-Moreno,12.0,SO,WR/LB,#9,Woodward-Granger,2,40,1
Kelan Stevenson,8.6,SO,TE/LB,#62,Lamoni,2,6,1
Cade Souhrada,4.6,JR,TE/LB,#19,Wilton,2,26,0
Kyran Flowers,3.3,SR,RB/LB,#1,Westwood,2,13,0
Frank Lewis,14.6,SR,RB/CB,#10,Westwood,2,66,1
Carson Topf,4.0,SR,QB/S,#12,Westwood,2,20,0
Connor Cross,14.5,JR,WR/DB,#25,Iowa City High,2,65,1
Parker Sutherland,3.2,JR,TE/DL,#88,Iowa City High,2,12,0
Ryder Sundall,3.8,SR,WR/DB,#3,Spirit Lake,2,18,0
Bode Higgins,2.6,JR,RB/LB,#4,Spirit Lake,2,6,0
Simon Leinbaugh,4.9,SR,WR/DB,#6,Spirit Lake,2,29,0
Ethan Stecker,4.0,JR,WR/DB,#11,Spirit Lake,2,20,0
Logan Sandman,4.2,SR,TE/DL,#21,Spirit Lake,2,22,0
Charlie Veit,4.4,SR,RB/DB,#11,East Sac County,2,24,0
Graham Antrim,14.9,JR,WR/DB,#4,Des Moines Christian,2,69,1
John Eichhorn,3.7,JR,WR/DB,#21,Williamsburg,2,17,0
Clayten Steckly,18.1,SR,WR/LB,#18,Williamsburg,2,41,2
Mason Black,16.2,SO,TE/DB,#15,Wayne,2,22,2
London Franklin,16.1,SO,RB/DE,#6,New London,2,81,1
Brigham Porter,5.5,SO,SL/DB,#23,New London,2,35,0
Cale Westerbeck,14.3,SO,WR/DB,#4,New London,2,63,1
Brant Dickinson,2.2,SR,RB/LB,#3,Vinton-Shellsburg,2,2,0
Vincent Anderson,3.0,JR,WR/DB,#8,Indianola,2,10,0
Keenan Wiley,9.7,SR,WR/DB,#3,Charles City,2,17,1
Keaton Roskop,12.7,SR,TE/LB,#85,Linn-Mar,2,47,1
Ben Backes,4.5,JR,LB/RB,#38,Cedar Falls,2,25,0
Corin Fuchtman,3.9,SR,FB/DE,#40,Cedar Falls,2,19,0
Justin Weispfenning,4.7,JR,RB/DB,#3,Easton Valley,2,27,0
Colby Gast,3.6,SO,WR/DB,#4,Durant,2,16,0
Caden Meyer,4.9,SR,WR/DB,#3,Durant,2,29,0
Mason McIntosh,5.7,SR,QB/LB,#16,West Harrison,2,37,0
Karter Datema,3.5,JR,WR/LB,#3,Garner Hayfield Ventura,2,15,0
Gage Konz,10.6,JR,WR/LB,#10,Garner Hayfield Ventura,2,26,1
Carter Holtz,4.1,SR,TE/DE,#27,North Linn,2,21,0
Aiden Stenzel,11.7,SO,RB/DB,#20,Sidney,2,37,1
Cooper Kleinkopf,3.8,SR,WR/DB,#21,Danville,2,18,0
Titus Svoboda,3.7,SR,RB/DE,#13,Danville,2,17,0
Trevor Antes,1.3,SR,TE/LB,#7,Center Point-Urbana,1,3,0
Drew Schellhorn,1.6,SR,WR/DB,#4,Center Point-Urbana,1,6,0
Collin Spore,1.4,SR,WR/S,#81,Center Point-Urbana,1,4,0
Austin Lack,10.4,SR,WR/DB,#3,East Union,1,34,1
Jr Araiza,2.1,SR,RB/LB,#25,Hartley-Melvin-Sanborn,1,11,0
Evan Eilers,1.2,SR,TE/DL,#48,Hartley-Melvin-Sanborn,1,2,0
William Anderson,1.5,JR,RB/DB,#33,Logan-Magnolia,1,5,0
Colin Bleile,8.0,JR,WR/CB,#20,Newman Catholic,1,10,1
Zack Ecuimates,2.8,SR,RB/CB,#1,Newman Catholic,1,18,0
Vinny Joslin,3.7,SR,RB/CB,#8,Newman Catholic,1,27,0
Kellen Kantaris,3.1,SR,TE/DE,#5,Newman Catholic,1,21,0
Gabe Lewerke,1.4,SR,RB/LB,#33,Newman Catholic,1,4,0
Caleb VanLaere,2.0,SR,TE/LB,#10,Newman Catholic,1,10,0
Alec Ulin,1.5,SR,RB/LB,#10,Washington,1,5,0
Conner Leyden,3.0,JR,WR/LB,#31,Washington,1,20,0
Seth Bixler,9.4,SR,WR/S,#1,Midland,1,24,1
Cael Weisskopf,1.5,FR,RB/LB,#5,HLV,1,5,0
Devon Weisskopf,1.4,JR,RB/LB,#32,HLV,1,4,0
Ty Alcott,1.5,JR,RB/DB,#24,Belle Plaine,1,5,0
Wade Sankot,1.1,SO,RB/LB,#3,Belle Plaine,1,1,0
Aidan Yoch,2.1,SR,TE/DB,#14,West Bend-Mallard,1,11,0
Eric Wilson,4.0,SR,WR/DB,#15,Exira-EHK,1,30,0
Bryce Brabham,1.1,SO,RB/DB,#9,Exira-EHK,1,1,0
Myles Beck,1.8,SR,SL/DB,#4,OABCIG,1,8,0
Jack Gilbert,9.0,SO,WR/LB,#24,OABCIG,1,20,1
Jaxx Dejean,2.4,FR,WR/S,#2,OABCIG,1,14,0
Gavin Reck,3.1,JR,TE/LB,#11,East Buchanan,1,21,0
Devin Larsen,1.0,JR,RB/DB,#3,Algona,1,0,0
Jack Limbaugh,2.6,JR,TE/DL,#8,Algona,1,16,0
Rhett Pleggenkuhle,2.6,SR,WR/CB,#11,Van Meter,1,16,0
Jackson Schulte,11.1,SR,RB/LB,#21,Kee,1,41,1
Charlie Nattress,4.2,SO,TE/DL,#25,South Central Calhoun,1,32,0
Zach Trott,1.4,SR,RB/DB,#20,South Central Calhoun,1,4,0
Keegan Chew,1.9,FR,QB/S,#7,Murray,1,9,0
Ayden Lamb,1.1,FR,TE/LB,#18,Murray,1,1,0
Evan Hammer,7.9,SR,TE/DL,#11,Carroll,1,9,1
Chase Ragaller,8.7,SR,WR/LB,#34,Carroll,1,17,1
Tate Schliesman,11.7,SR,DB/WR,#8,Carroll,1,47,1
Mac Collison,1.7,SO,WR/DB,#2,Carroll,1,7,0
Michael Rowedder,1.4,SO,RB/LB,#4,Carroll,1,4,0
Brayden Alber,7.7,JR,FB/LB,#33,Cedar Rapids Kennedy,1,7,1
Jacob Doyle,2.2,JR,RB/LB,#23,Cedar Rapids Kennedy,1,12,0
Anthony Huber,1.4,SR,LB/TE,#7,Cedar Rapids Kennedy,1,4,0
Calvin White,7.7,SR,LB/RB,#35,Cedar Rapids Kennedy,1,7,1
Emeli Niyogushima,3.6,SR,LB/TE,#44,Des Moines North,1,26,0
Avery Gregoire,1.4,JR,RB/CB,#7,Central Springs,1,4,0
Rory Prazak,1.4,SR,RB/LB,#10,Central Springs,1,4,0
Braydin Crum,1.8,SO,WR/DB,#3,Central Springs,1,8,0
Creighton Kelly,9.7,JR,RB/LB,#36,West Hancock,1,27,1
Eli Fritz,2.5,SO,WR/LB,#9,Cascade,1,15,0
Mitchell Miller,9.9,SR,TE/DL,#84,Lynnville-Sully,1,29,1
Michael Spooner,6.0,SO,TE/LB,#4,Lynnville-Sully,1,50,0
Blake Van Wyk,1.2,SR,WR/LB,#13,Lynnville-Sully,1,2,0
Collin Fullick,2.7,SR,RB/DB,#7,Clinton,1,17,0
Darion Clark,0.8,SR,WR/LB,#84,Clinton,1,-2,0
Kinnick Belitz,1.0,SR,TE/DL,#85,Clinton,1,0,0
Dominic Aljets,3.8,SR,DB/WR,#19,Pocahontas Area,1,28,0
Caden Chapman,1.4,SR,RB/LB,#11,Okoboji,1,4,0
Blaise Elwood,2.5,JR,RB/LB,#15,Okoboji,1,15,0
Domenic Jutting,1.8,JR,RB/LB,#8,Okoboji,1,8,0
Avery Simington,2.1,SO,WR/DB,#4,Okoboji,1,11,0
Wrigley Matthys,1.7,JR,RB,#1,Bettendorf,1,7,0
Cole Odefey,3.0,JR,DB,#4,Bettendorf,1,20,0
Jake Schulz,10.0,SR,TE,#7,Bettendorf,1,30,1
Ahmed Almaki,0.6,JR,WR,#47,Iowa City West,1,-4,0
Butali Butali,0.9,JR,RB,#35,Iowa City West,1,-1,0
Erik Caperon,1.9,SR,WR/DB,#1,Iowa City West,1,9,0
Mason Goering,1.9,SO,WR/DB,#12,Iowa City West,1,9,0
Jesus Marungo-Murillo,1.2,SR,TE/DL,#7,Iowa City West,1,2,0
Mason Woods,2.5,JR,WR/DB,#19,Iowa City West,1,15,0
Anderson Holtz,2.0,SO,WR/DB,#2,Maquoketa Valley,1,10,0
Lance McShane,1.3,SR,RB/LB,#30,Maquoketa Valley,1,3,0
Colin Smith,1.4,SO,WR/DB,#21,Maquoketa Valley,1,4,0
Stadan Vansice,1.5,SO,WR/LB,#5,Baxter,1,5,0
Drake Axmear,4.2,JR,WR/CB,#4,English Valleys,1,32,0
Jace Hanson,3.0,SR,TE/LB,#86,Southeast Valley,1,20,0
Ross Larson,3.4,SR,WR/DB,#1,Southeast Valley,1,24,0
Tyler Moreland,2.0,SR,WR/DB,#6,Southeast Valley,1,10,0
Logan Jaeschke,1.4,FR,RB/DB,#8,Southeast Valley,1,4,0
Graine Curtin,1.6,JR,LB/RB,#8,Waukon,1,6,0
Judah Johnson,2.6,JR,RB/DB,#7,Waukon,1,16,0
Lance Pingel,1.9,SR,WR/CB,#11,Cherokee Washington,1,9,0
Logan Stowater,2.5,JR,TE/DB,#15,Cherokee Washington,1,15,0
Chase England,1.2,JR,TE/DL,#33,Lenox,1,2,0
Logan Bacon,1.2,SR,RB/LB,#5,Lake Mills,1,2,0
Beau Kaufman,1.0,SR,RB/LB,#8,Lake Mills,1,0,0
Garrett Ham,2.4,SR,WR/LB,#24,Lake Mills,1,14,0
Zuriel Garrett,2.1,SR,TE/LB,#42,Burlington,1,11,0
Alec Higgins,1.5,SR,WR/DB,#11,Nevada,1,5,0
Will Palmer,3.5,SR,TE/DL,#87,Nevada,1,25,0
Gavin Egeland,1.6,SO,WR/DB,#17,Nevada,1,6,0
Jimmie Bridges,12.7,JR,WR/LB,#5,Saydel,1,57,1
Grady Godwin,1.9,JR,RB/LB,#34,Saydel,1,9,0
Trevor Goode,8.6,JR,WR/LB,#82,Saydel,1,16,1
Timothy Koerselman,2.3,JR,WR/S,#2,Norwalk,1,13,0
Brady Schmitz,2.2,JR,WR/DB,#3,Norwalk,1,12,0
Henry Jaerger,1.7,SR,DB/WR,#13,Sioux City North,1,7,0
Blake Micetich,1.2,SR,RB/DB,#3,Twin Cedars,1,2,0
Dallas Smith,1.5,JR,QB/DB,#2,Twin Cedars,1,5,0
Camden Bell,8.2,SR,WR/CB,#15,Hudson,1,12,1
Josh Gilbert,7.6,JR,WR/DB,#17,Hudson,1,6,1
Drew Sundine,3.0,JR,WR/CB,#11,Hudson,1,20,0
Conner Bowers,1.6,JR,TE/CB,#21,Griswold,1,6,0
Cole Kindred,4.7,SR,SL/S,#15,Sigourney Keota,1,37,0
Ike Molyneux,0.9,FR,RB/LB,#8,Sigourney Keota,1,-1,0
Tyler Riley,2.1,JR,WR/DB,#17,Creston,1,11,0
Jah'Khi Parker,1.7,JR,SL/LB,#9,Waterloo East,1,7,0
Logan French,3.9,SR,WR/DB,#1,Stanton,1,29,0
Jacob Martin,1.6,JR,RB/LB,#3,Stanton,1,6,0
Johnny Resh,1.7,SR,TE/DL,#20,Stanton,1,7,0
Dalton Clasen,2.8,SR,TE/LB,#44,Bellevue,1,18,0
Jack Kirk,1.9,FR,TE/LB,#22,Bellevue,1,9,0
Parker Cox,1.4,JR,RB/LB,#44,Forest City,1,4,0
Ty Sopko,5.1,SO,QB/DB,#10,Forest City,1,41,0
Willie Holmes,1.7,JR,TE/DL,#85,Forest City,1,7,0
Carsen Hall,1.7,JR,WR/DB,#3,Forest City,1,7,0
Bowen Tadlock,2.6,JR,RB/LB,#23,Winterset,1,16,0
Ben Porter,2.5,SO,RB/LB,#10,Winterset,1,15,0
Owen Jordahl,2.5,SR,WR/DB,#6,North Scott,1,15,0
Brody Koch,9.3,SO,RB/LB,#5,Calamus-Wheatland,1,23,1
Kellen Jensen,2.2,JR,SL/LB,#10,Ridge View,1,12,0
Kinnick Jensen,1.5,SO,WR/DB,#1,Ridge View,1,5,0
Hayden Rummel,7.7,JR,TE/DB,#19,Oelwein,1,7,1
Brandon Tournier,3.6,JR,RB/LB,#30,Oelwein,1,26,0
Jacob Hoy,2.1,JR,WR/DB,#16,Grundy Center,1,11,0
Tate Jirovsky,1.3,SR,WR/DB,#15,Grundy Center,1,3,0
Judd Jirovsky,1.7,SO,QB/DB,#12,Grundy Center,1,7,0
Dylan Knaack,1.5,SR,WR/LB,#21,Grundy Center,1,5,0
Brody Zinkula,2.9,JR,RB/LB,#20,Grundy Center,1,19,0
Nolan Clark,3.4,SR,WR/DB,#30,Glenwood,1,24,0
Wyatt Ham,7.8,JR,WR/DB,#13,Tipton,1,8,1
Griffin Naderman,1.5,SR,WR/DB,#4,Tipton,1,5,0
Jacob Barton,2.0,JR,WR/DB,#14,Tipton,1,10,0
Jacob Boedeker,1.5,JR,WR/DL,#16,Tipton,1,5,0
Logan Roff,0.7,SO,WR/DB,#10,Pleasantville,1,-3,0
Owen Rule,1.5,SO,RB/LB,#7,Pleasantville,1,5,0
Yahir Camberos Barajas,1.1,SR,WR/DB,#3,Estherville Lincoln Central,1,1,0
Tate Hoyer,11.5,SR,WR/DB,#6,Estherville Lincoln Central,1,45,1
Dylan Peta,1.1,JR,RB/LB,#7,Estherville Lincoln Central,1,1,0
Tresean Phillips,1.1,JR,DE/TE,#3,Des Moines Hoover,1,1,0
Daniel Larmie,8.0,SO,RB,#21,Ankeny,1,10,1
Kaden DeJager,3.2,JR,S/WR,#7,Western Christian,1,22,0
JD Petitt,7.6,SR,TE/LB,#12,Western Christian,1,6,1
Caleb James,4.5,JR,RB,#15,Waukee Northwest,1,35,0
Ashton Honnold,2.2,SO,RB/DL,#22,Nodaway Valley,1,12,0
Ethan Reiter,1.3,JR,WR/DB,#02,Denver,1,3,0
Jackson Schoville,8.9,SO,SL/LB,#11,Denver,1,19,1
Tristin Gunderson,1.2,SO,RB/LB,#24,Tri-Center,1,2,0
Titus Humbert,1.0,JR,DE/WR,#4,Tri-Center,1,0,0
Kile Bucknell,2.0,SR,RB/LB,#5,Jesup,1,10,0
Drew Eilers,0.8,JR,WR/DL,#2,Gladbrook-Reinbeck,1,-2,0
